,op_id,op_type,suc,read,write,maca,cv_dsp
119,InceptionV4/InceptionV4/Mixed_6b/Branch_2/Conv2d_0d_7x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6b/Branch_2/Conv2d_0e_1x7/Relu'],133602,3983,11707,11707
120,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6b/Branch_2/Conv2d_0e_1x7/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6b/Branch_2/Conv2d_0e_1x7/Relu'],125920,3983,14084,6532990
121,InceptionV4/InceptionV4/Mixed_6b/Branch_2/Conv2d_0e_1x7/Relu,Relu,['InceptionV4/InceptionV4/Mixed_6b/concat'],133602,3983,13464,13464
122,InceptionV4/InceptionV4/Mixed_6b/concat,Concat,"['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_0/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0a_1x1/Relu', 'InceptionV4/InceptionV4/Mixed_6c/Branch_3/AvgPool_0a_3x3/AvgPool']",50997,23038,13521,13521
123,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_0/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6c/Branch_0/Conv2d_0a_1x1/Relu'],64624,5642,26622,6532990
124,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0a_1x1/Relu'],125920,3642,14230,387238
125,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0a_1x1/Relu'],125920,3642,14230,387238
126,InceptionV4/InceptionV4/Mixed_6c/Branch_3/AvgPool_0a_3x3/AvgPool,AveragePool,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_3/Conv2d_0b_1x1/Relu'],50997,23038,20643,249716
127,InceptionV4/InceptionV4/Mixed_6c/Branch_0/Conv2d_0a_1x1/Relu,Relu,['InceptionV4/InceptionV4/Mixed_6c/concat'],133602,5642,19041,19041
128,InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0b_1x7/Relu'],133602,3642,8275,8275
129,InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0b_7x1/Relu'],133602,3642,8275,8275
130,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_3/Conv2d_0b_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6c/Branch_3/Conv2d_0b_1x1/Relu'],0,3094,9632,821606
131,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0b_1x7/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0b_1x7/Relu'],0,3983,12112,6532990
132,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0b_7x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0b_7x1/Relu'],83265,3642,9621,387238
133,InceptionV4/InceptionV4/Mixed_6c/Branch_3/Conv2d_0b_1x1/Relu,Relu,['InceptionV4/InceptionV4/Mixed_6c/concat'],133602,3094,7121,7121
134,InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0b_1x7/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0c_7x1/Relu'],133602,3983,11707,11707
135,InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0b_7x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0c_1x7/Relu'],133602,3642,8275,8275
136,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0c_7x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0c_7x1/Relu'],125920,3983,14084,6532990
137,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0c_1x7/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0c_1x7/Relu'],0,3983,12112,6532990
138,InceptionV4/InceptionV4/Mixed_6c/Branch_1/Conv2d_0c_7x1/Relu,Relu,['InceptionV4/InceptionV4/Mixed_6c/concat'],133602,3983,13464,13464
139,InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0c_1x7/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0d_7x1/Relu'],133602,3983,11707,11707
140,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0d_7x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0d_7x1/Relu'],0,3983,14052,6532990
141,InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0d_7x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0e_1x7/Relu'],133602,3983,11707,11707
142,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0e_1x7/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0e_1x7/Relu'],125920,3983,14084,6532990
143,InceptionV4/InceptionV4/Mixed_6c/Branch_2/Conv2d_0e_1x7/Relu,Relu,['InceptionV4/InceptionV4/Mixed_6c/concat'],133602,3983,13464,13464
144,InceptionV4/InceptionV4/Mixed_6c/concat,Concat,"['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_0/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0a_1x1/Relu', 'InceptionV4/InceptionV4/Mixed_6d/Branch_3/AvgPool_0a_3x3/AvgPool']",50997,23038,13521,13521
145,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_0/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6d/Branch_0/Conv2d_0a_1x1/Relu'],64624,5642,26622,6532990
146,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0a_1x1/Relu'],125920,3642,14230,387238
