,op_id,op_type,suc,maca,cv_dsp,"['maca', 'maca']","['maca', 'cv_dsp']","['cv_dsp', 'maca']","['cv_dsp', 'cv_dsp']"
108,node104,Relu,['node108'],5862,5862,[83417],[83417],[83417],[83417]
109,node108,Concat,['node109'],8338,8338,[66106],[66106],[66106],[66106]
110,node109,MaxPool,"['node110', 'node112', 'node116', 'node120']",2644,161904,"[69093, 69200, 136696, 136696]","[69093, 69200, 136696, 136696]","[69093, 69200, 136696, 136696]","[69093, 69200, 136696, 136696]"
111,node110,Conv,['node111'],2503,410095,[136696],[136696],[136696],[136696]
112,node112,Conv,['node113'],1268,1551558,[136696],[136696],[136696],[136696]
113,node116,Conv,['node117'],756,818059,[136696],[136696],[136696],[136696]
114,node120,MaxPool,['node121'],422,42901,[69200],[69200],[69200],[69200]
115,node111,Relu,['node123'],4873,4873,[136696],[136696],[136696],[136696]
116,node113,Relu,['node114'],4618,4618,[129014],[129014],[129014],[129014]
117,node117,Relu,['node118'],4154,4154,[136696],[136696],[136696],[136696]
118,node121,Conv,['node122'],1030,1551558,[136696],[136696],[136696],[136696]
119,node114,Conv,['node115'],38678,4432875,[136696],[136696],[136696],[136696]
120,node118,Conv,['node119'],951,1551558,[136696],[136696],[136696],[136696]
121,node122,Relu,['node123'],4456,4456,[136696],[136696],[136696],[136696]
122,node115,Relu,['node123'],5125,5125,[136696],[136696],[136696],[136696]
123,node119,Relu,['node123'],4456,4456,[136696],[136696],[136696],[136696]
124,node123,Concat,"['node124', 'node126', 'node130', 'node134']",4363,4363,"[54091, 69093, 136696, 136696]","[54091, 69093, 136696, 136696]","[54091, 69093, 136696, 136696]","[54091, 69093, 136696, 136696]"
125,node124,Conv,['node125'],13683,554566,[136696],[136696],[136696],[136696]
126,node126,Conv,['node127'],1057,1551558,[136696],[136696],[136696],[136696]
127,node130,Conv,['node131'],1080,818059,[136696],[136696],[136696],[136696]
128,node134,MaxPool,['node135'],422,42901,[69200],[69200],[69200],[69200]
129,node125,Relu,['node137'],5153,5153,[136696],[136696],[136696],[136696]
130,node127,Relu,['node128'],4784,4784,[67718],[67718],[67718],[67718]
131,node131,Relu,['node132'],4165,4165,[83417],[83417],[83417],[83417]
132,node135,Conv,['node136'],1030,1551558,[136696],[136696],[136696],[136696]
133,node128,Conv,['node129'],2587,1247502,[136696],[136696],[136696],[136696]
134,node132,Conv,['node133'],2465,1551558,[136696],[136696],[136696],[136696]
135,node136,Relu,['node137'],4456,4456,[136696],[136696],[136696],[136696]
136,node129,Relu,['node137'],5153,5153,[136696],[136696],[136696],[136696]
137,node133,Relu,['node137'],4456,4456,[136696],[136696],[136696],[136696]
138,node137,Concat,['node138'],4363,4363,[136696],[136696],[136696],[136696]
139,node138,AveragePool,['node139'],-1,80210,[136696],[136696],[136696],[136696]
140,node139,Reshape,['node141'],-1,6994,[3194],[3194],[3194],[3194]
141,node141,Gemm,[],100,100,[],[],[],[]
