,op_id,op_type,suc,read,write,MACA,CV_DSP
76,node71,Conv,['node72'],83265,3094,25204,821606
77,node75,Conv,['node76'],133602,3094,4618,410095
78,node79,Relu,['node80'],133602,3094,4920,4920
79,node72,Relu,['node80'],133602,3094,7472,7472
80,node76,Relu,['node80'],133602,3094,4920,4920
81,node80,Concat,"['node81', 'node83', 'node87', 'node91']",133602,5642,6287,6287
82,node81,Conv,['node82'],80323,3094,3396,554566
83,node83,Conv,['node84'],80323,3094,3721,554566
84,node87,Conv,['node88'],133602,3094,1758,1551558
85,node91,MaxPool,['node92'],133602,5642,3373,144063
86,node82,Relu,['node94'],133602,3094,5741,5741
87,node84,Relu,['node85'],133602,3094,6110,6110
88,node88,Relu,['node89'],133602,3094,4517,4517
89,node92,Conv,['node93'],133602,3094,2966,1551558
90,node85,Conv,['node86'],0,3094,12533,387238
91,node89,Conv,['node90'],133602,3094,3428,554566
92,node93,Relu,['node94'],133602,3094,4920,4920
93,node86,Relu,['node94'],133602,3094,8032,8032
94,node90,Relu,['node94'],133602,3094,4920,4920
95,node94,Concat,"['node95', 'node97', 'node101', 'node105']",133602,5642,5244,5244
96,node95,Conv,['node96'],113706,3094,2940,1247502
97,node97,Conv,['node98'],80323,3094,1347,3970544
98,node101,Conv,['node102'],133602,3094,14921,1551558
99,node105,MaxPool,['node106'],133602,5642,5533,144063
100,node96,Relu,['node108'],133602,3094,7472,7472
101,node98,Relu,['node99'],133602,3094,6066,6066
102,node102,Relu,['node103'],133602,3094,4517,4517
103,node106,Conv,['node107'],80323,3094,24641,554566
104,node99,Conv,['node100'],125920,3642,18645,6532990
105,node103,Conv,['node104'],133602,3094,3883,4432875
106,node107,Relu,['node108'],133602,3094,5862,5862
107,node100,Relu,['node108'],133602,3642,8189,8189
108,node104,Relu,['node108'],133602,3094,5862,5862
109,node108,Concat,['node109'],80323,0,8338,8338
110,node109,MaxPool,"['node110', 'node112', 'node116', 'node120']",66106,3094,2644,161904
111,node110,Conv,['node111'],65999,3094,2503,410095
112,node112,Conv,['node113'],66106,3094,1268,1551558
113,node116,Conv,['node117'],133602,3094,756,818059
114,node120,MaxPool,['node121'],133602,3094,422,42901
115,node111,Relu,['node123'],133602,3094,4873,4873
116,node113,Relu,['node114'],133602,3094,4618,4618
117,node117,Relu,['node118'],133602,3094,4154,4154
118,node121,Conv,['node122'],66106,3094,1030,1551558
119,node114,Conv,['node115'],125920,3094,38678,4432875
120,node118,Conv,['node119'],133602,3094,951,1551558
121,node122,Relu,['node123'],133602,3094,4456,4456
122,node115,Relu,['node123'],133602,3094,5125,5125
123,node119,Relu,['node123'],133602,3094,4456,4456
124,node123,Concat,"['node124', 'node126', 'node130', 'node134']",133602,3094,4363,4363
125,node124,Conv,['node125'],50997,3094,13683,554566
126,node126,Conv,['node127'],65999,3094,1057,1551558
127,node130,Conv,['node131'],133602,3094,1080,818059
128,node134,MaxPool,['node135'],133602,3094,422,42901
129,node125,Relu,['node137'],133602,3094,5153,5153
130,node127,Relu,['node128'],133602,3094,4784,4784
131,node131,Relu,['node132'],133602,3094,4165,4165
132,node135,Conv,['node136'],66106,3094,1030,1551558
133,node128,Conv,['node129'],64624,3094,2587,1247502
134,node132,Conv,['node133'],80323,3094,2465,1551558
135,node136,Relu,['node137'],133602,3094,4456,4456
136,node129,Relu,['node137'],133602,3094,5153,5153
137,node133,Relu,['node137'],133602,3094,4456,4456
138,node137,Concat,['node138'],133602,3094,4363,4363
139,node138,AveragePool,['node139'],133602,3094,-1,80210
140,node139,Reshape,['node141'],133602,3094,-1,6994
141,node141,Gemm,[],100,100,100,100
