,Unnamed: 0,op_id,op_type,suc,read,write,maca,cv_dsp,"('maca', 'maca')","('maca', 'cv_dsp')","('cv_dsp', 'maca')","('cv_dsp', 'cv_dsp')"
170,170,InceptionV3/InceptionV3/Mixed_7a/Branch_1/Conv2d_1a_3x3/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7a/concat'],133602,3094,5125,5125,[136696],[136696],[136696],[136696]
171,171,InceptionV3/InceptionV3/Mixed_7a/concat,Concat,"['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_0/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0a_1x1/Relu', 'InceptionV3/InceptionV3/Mixed_7b/Branch_3/AvgPool_0a_3x3/AvgPool']",133602,5642,4377,4377,"[131562, 154304, 70266, 139244]","[131562, 154304, 70266, 139244]","[131562, 154304, 70266, 139244]","[131562, 154304, 70266, 139244]"
172,172,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_0/Conv2d_0a_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_0/Conv2d_0a_1x1/Relu'],125920,3094,6394,1247502,[136696],[136696],[136696],[136696]
173,173,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0a_1x1/Relu'],148662,3094,11583,821606,[136696],[136696],[136696],[136696]
174,174,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0a_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0a_1x1/Relu'],64624,3094,93076,821606,[136696],[136696],[136696],[136696]
175,175,InceptionV3/InceptionV3/Mixed_7b/Branch_3/AvgPool_0a_3x3/AvgPool,AveragePool,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu'],133602,5642,-1,80210,[56639],[56639],[56639],[56639]
176,176,InceptionV3/InceptionV3/Mixed_7b/Branch_0/Conv2d_0a_1x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7b/concat'],133602,3094,5862,5862,[136696],[136696],[136696],[136696]
177,177,InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0a_1x1/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu', 'TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_3x1/Relu']",133602,3094,6110,6110,"[129014, 129014]","[129014, 129014]","[129014, 129014]","[129014, 129014]"
178,178,InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0b_3x3/Relu'],133602,3094,6285,6285,[3094],[3094],[3094],[3094]
179,179,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu'],50997,3094,2801,4432875,[136696],[136696],[136696],[136696]
