,Unnamed: 0,op_id,op_type,suc,CPU_B,CPU_S,GPU,"['CPU_B', 'CPU_S']","['CPU_S', 'CPU_B']","['CPU_B', 'GPU']","['GPU', 'CPU_B']","['CPU_S', 'GPU']","['GPU', 'CPU_S']",['size']
42,42,43,43,[46],407.045,1076.132,1096.384,[19.666588489268218],[11.999878872698925],[15.381122387071102],[5.273664621688225],[29.406094044695795],[14.486265281501908],[50176.0]
43,43,44,44,[46],1534.387,5659.289,2801.315,[78.66635395707287],[47.9995154907957],[61.52448954828441],[21.0946584867529],[117.62437617878318],[57.94506112600763],[200704.0]
44,44,45,45,[46],184.793,701.213,1577.263,[19.666588489268218],[11.999878872698925],[15.381122387071102],[5.273664621688225],[29.406094044695795],[14.486265281501908],[50176.0]
45,45,46,46,"[47, 48, 49, 50]",181.834,319.752,445.212,"[157.33270791414574, 157.33270791414574, 157.33270791414574, 157.33270791414574]","[95.9990309815914, 95.9990309815914, 95.9990309815914, 95.9990309815914]","[123.04897909656881, 123.04897909656881, 123.04897909656881, 123.04897909656881]","[42.1893169735058, 42.1893169735058, 42.1893169735058, 42.1893169735058]","[235.24875235756636, 235.24875235756636, 235.24875235756636, 235.24875235756636]","[115.89012225201526, 115.89012225201526, 115.89012225201526, 115.89012225201526]","[401408.0, 401408.0, 401408.0, 401408.0]"
46,46,47,47,[54],585.005,1623.219,1321.386,[34.416529856219384],[20.99978802722312],[26.916964177374425],[9.22891308795439],[51.460664578217646],[25.35096424262834],[87808.0]
47,47,48,48,[52],705.631,1830.888,1519.096,[44.24982410085349],[26.999727463572583],[34.607525370909975],[11.865745398798504],[66.16371160056553],[32.594096883379294],[112896.0]
48,48,49,49,[53],274.29400000000004,785.797,763.298,[9.833294244634109],[5.999939436349463],[7.690561193535551],[2.6368323108441123],[14.703047022347898],[7.243132640750954],[25088.0]
49,49,50,50,[51],132.08499999999998,454.7120000000001,577.046,[157.33270791414574],[95.9990309815914],[123.04897909656881],[42.1893169735058],[235.24875235756636],[115.89012225201526],[401408.0]
50,50,51,51,[54],411.8370000000001,1076.757,1032.9250000000002,[19.666588489268218],[11.999878872698925],[15.381122387071102],[5.273664621688225],[29.406094044695795],[14.486265281501908],[50176.0]
51,51,52,52,[54],1782.514,4451.072,2375.728,[88.49964820170698],[53.999454927145166],[69.21505074181995],[23.731490797597008],[132.32742320113107],[65.18819376675859],[225792.0]
52,52,53,53,[54],223.127,751.63,728.59,[19.666588489268218],[11.999878872698925],[15.381122387071102],[5.273664621688225],[29.406094044695795],[14.486265281501908],[50176.0]
53,53,54,54,"[55, 56, 57, 58]",153.209,343.294,443.546,"[162.2493550364628, 162.2493550364628, 162.2493550364628, 162.2493550364628]","[98.99900069976613, 98.99900069976613, 98.99900069976613, 98.99900069976613]","[126.89425969333658, 126.89425969333658, 126.89425969333658, 126.89425969333658]","[43.50773312892785, 43.50773312892785, 43.50773312892785, 43.50773312892785]","[242.6002758687403, 242.6002758687403, 242.6002758687403, 242.6002758687403]","[119.51168857239074, 119.51168857239074, 119.51168857239074, 119.51168857239074]","[413952.0, 413952.0, 413952.0, 413952.0]"
54,54,55,55,[62],1253.927,3394.148,2301.519,[78.66635395707287],[47.9995154907957],[61.52448954828441],[21.0946584867529],[117.62437617878318],[57.94506112600763],[200704.0]
55,55,56,56,[60],781.214,2271.766,1627.097,[49.16647122317055],[29.999697181747308],[38.452805967677754],[13.184161554220559],[73.51523511173949],[36.21566320375477],[125440.0]
56,56,57,57,[61],253.919,710.713,731.5899999999999,[9.833294244634109],[5.999939436349463],[7.690561193535551],[2.6368323108441123],[14.703047022347898],[7.243132640750954],[25088.0]
57,57,58,58,[59],132.043,440.42,586.547,[162.2493550364628],[98.99900069976613],[126.89425969333658],[43.50773312892785],[242.6002758687403],[119.51168857239074],[413952.0]
58,58,59,59,[62],666.214,1767.387,1609.847,[39.333176978536436],[23.99975774539785],[30.762244774142204],[10.54732924337645],[58.81218808939159],[28.972530563003815],[100352.0]
59,59,60,60,[62],2189.476,5653.455,2769.356,[98.3329424463411],[59.999394363494616],[76.90561193535551],[26.368323108441118],[147.03047022347897],[72.43132640750954],[250880.0]
60,60,61,61,[62],339.378,1551.802,799.09,[39.333176978536436],[23.99975774539785],[30.762244774142204],[10.54732924337645],[58.81218808939159],[28.972530563003815],[100352.0]
