,op_id,op_type,suc,cpu_b,cpu_s,gpu,data_size,"('cpu_b', 'cpu_b')","('cpu_b', 'cpu_s')","('cpu_b', 'gpu')","('cpu_s', 'cpu_b')","('cpu_s', 'cpu_s')","('cpu_s', 'gpu')","('gpu', 'cpu_b')","('gpu', 'cpu_s')","('gpu', 'gpu')"
65,65,65,[66],769.2149999999999,1405.095,668.91716,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
66,66,66,"[67, 68, 69, 75]",456.087,598.379,0.0,"[1568000.0, 1568000.0, 1568000.0, 1568000.0]","[326.6871196704542, 326.6871196704542, 326.6871196704542, 326.6871196704542]","[614.5808902896317, 614.5808902896317, 614.5808902896317, 614.5808902896317]","[687.5202329073176, 687.5202329073176, 687.5202329073176, 687.5202329073176]","[374.99621477184144, 374.99621477184144, 374.99621477184144, 374.99621477184144]","[662.8899853910191, 662.8899853910191, 662.8899853910191, 662.8899853910191]","[1125.8005972080891, 1125.8005972080891, 1125.8005972080891, 1125.8005972080891]","[371.6621777391027, 371.6621777391027, 371.6621777391027, 371.6621777391027]","[659.5559483582803, 659.5559483582803, 659.5559483582803, 659.5559483582803]","[413.7203166226913, 413.7203166226913, 413.7203166226913, 413.7203166226913]"
67,67,67,[73],782.382,2074.9750000000004,893.43318,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
68,68,68,[70],717.131,2211.268,886.7547999999999,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
69,69,69,[71],723.423,2195.35,867.5963,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
70,70,70,[73],541.838,2208.643,790.30484,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
71,71,71,[72],760.84,2356.227,896.13236,[235200.0],[0],[92.18713354344477],[103.12803493609763],[56.24943221577621],[0],[168.8700895812134],[55.74932666086539],[98.93339225374204],[0]
72,72,72,[73],1188.511,3660.945,1050.14114,[313600.0],[0],[122.91617805792636],[137.5040465814635],[74.99924295436827],[132.5779970782038],[225.16011944161787],[74.33243554782052],[131.91118967165605],[82.74406332453826]
73,73,73,[74],314.67,495.87899999999996,356.35292,[627200.0],[0],[245.83235611585272],[275.008093162927],[149.99848590873654],[265.1559941564076],[450.32023888323573],[148.66487109564105],[263.8223793433121],[165.48812664907652]
74,74,74,[75],2877.359,6939.93,2842.29504,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
