,Unnamed: 0,op_id,op_type,suc,CPU_B,CPU_S,GPU,"['CPU_B', 'CPU_S']","['CPU_S', 'CPU_B']"
63,63,64,64,[71],562.837,1838.138,1623.639,[19.729804093164134],[11.936663268803008]
64,64,65,65,[69],412.42,1127.716,2024.183,[12.331127558227584],[7.46041454300188]
65,65,66,66,[70],155.543,405.586,555.838,[2.4662255116455167],[1.492082908600376]
66,66,67,67,[68],48.75,240.376,386.17,[64.12186330278344],[38.794155623609775]
67,67,68,68,[71],312.419,936.173,1962.6410000000003,[9.864902046582067],[5.968331634401504]
68,68,69,69,[71],1085.3010000000002,2459.6420000000003,3043.316,[24.662255116455167],[14.92082908600376]
69,69,70,70,[71],183.002,472.212,1540.262,[9.864902046582067],[5.968331634401504]
70,70,71,71,"[72, 73, 74, 75]",96.417,184.459,364.295,"[64.12186330278344, 64.12186330278344, 64.12186330278344, 64.12186330278344]","[38.794155623609775, 38.794155623609775, 38.794155623609775, 38.794155623609775]"
71,71,72,72,[79],796.089,2402.058,2195.393,[29.594706139746204],[17.90499490320451]
72,72,73,73,[77],428.253,1262.259,1214.51,[14.797353069873102],[8.952497451602255]
73,73,74,74,[78],189.21,473.795,603.5889999999999,[3.6993382674682755],[2.238124362900564]
74,74,75,75,[76],51.417,247.835,383.712,[64.12186330278344],[38.794155623609775]
75,75,76,76,[79],302.16900000000004,930.215,1147.968,[9.864902046582067],[5.968331634401504]
76,76,77,77,[79],1525.804,3427.982,2681.188,[29.594706139746204],[17.90499490320451]
77,77,78,78,[79],227.627,625.9209999999999,932.133,[9.864902046582067],[5.968331634401504]
78,78,79,79,[80],89.33399999999999,228.21,375.878,[78.91921637265654],[47.74665307521203]
79,79,80,80,[81],30.667,268.127,328.66900000000004,[1.6105962525031947],[0.9744214913308578]
80,80,81,81,[82],532.046,903.59,1201.302,[1.5744207507379862],[0.9525350711154186]
81,81,82,82,[83],61.751,129.501,297.461,[1.5744207507379862],[0.9525350711154186]
82,82,83,83,[],27.75,45.958000000000006,695.173,[],[]
